"","type","speaker","vowel","dur","f0","f1","f2","f3"
"160","b",14,"ɛ",312,279,734,2242,3601
"161","b",14,"e",382,262,558,2643,3216
"162","b",14,"ɝ",371,281,562,1682,1981
"163","b",14,"ɪ",255,287,564,2515,3537
"164","b",14,"i",329,259,446,3011,3587
"165","b",14,"o",394,282,562,1051,3094
"166","b",14,"ʊ",329,291,570,1423,3457
"167","b",14,"ʌ",307,280,654,1517,3466
"168","b",14,"u",324,282,548,1123,3152
"169","b",15,"æ",367,187,753,2227,3064
"170","b",15,"ɑ",364,187,859,1608,2789
"171","b",15,"ɔ",367,201,819,1074,2918
"172","b",15,"ɛ",291,202,616,2356,3200
"173","b",15,"e",346,193,564,2523,3286
"174","b",15,"ɝ",334,200,591,1626,2051
"175","b",15,"ɪ",290,198,562,2549,3101
"176","b",15,"i",324,207,428,3070,3604
"177","b",15,"o",315,217,588,1063,3228
"178","b",15,"ʊ",261,202,615,1397,3109
"179","b",15,"ʌ",300,183,739,1411,3122
"180","b",15,"u",274,241,491,1467,2936
"181","b",16,"æ",352,246,726,2231,2932
"182","b",16,"ɑ",327,245,898,1544,2862
"183","b",16,"ɔ",315,264,744,1093,2898
"184","b",16,"ɛ",189,241,749,1869,3107
"185","b",16,"e",245,250,499,2356,2983
"186","b",16,"ɝ",304,247,556,1741,2245
"187","b",16,"ɪ",276,252,499,2230,3249
"188","b",16,"i",331,259,493,2811,3481
"189","b",16,"o",290,269,581,1115,2924
"190","b",16,"ʊ",247,263,508,1245,2885
"191","b",16,"ʌ",239,257,696,1297,2881
"192","b",16,"u",228,262,505,1296,2619
"193","b",17,"æ",307,249,741,2444,3043
"194","b",17,"ɑ",281,254,1010,1705,2753
"195","b",17,"ɔ",269,249,808,1467,2997
"196","b",17,"ɛ",195,241,710,1993,3268
"197","b",17,"e",265,257,621,2476,3195
"198","b",17,"ɝ",304,272,559,1828,2163
"199","b",17,"ɪ",196,264,535,2190,2998
"200","b",17,"i",269,285,504,2803,3130
"201","b",17,"o",260,257,613,1236,2766
"202","b",17,"ʊ",189,236,563,1585,2841
"203","b",17,"ʌ",233,266,780,1428,3070
"204","b",17,"u",269,278,548,1377,2702
"205","b",18,"æ",312,209,674,2663,3243
"206","b",18,"ɑ",292,218,951,1982,2807
"207","b",18,"ɔ",294,222,820,1356,2700
"208","b",18,"ɛ",227,203,632,2431,3091
"209","b",18,"e",285,222,652,2661,3448
"210","b",18,"ɝ",278,217,571,1984,2206
"211","b",18,"ɪ",263,212,520,2695,3373
"212","b",18,"i",288,228,442,3135,3610
"213","b",18,"o",335,185,548,1062,2926
"214","b",18,"ʊ",294,252,578,1574,3026
"215","b",18,"ʌ",241,235,754,1742,3002
"216","b",18,"u",270,281,550,1114,3012
"217","b",19,"æ",352,205,769,2234,2910
"218","b",19,"ɑ",363,226,1010,1604,2588
"219","b",19,"ɔ",376,240,831,1193,2566
"220","b",19,"ɛ",274,204,642,2015,2916
"221","b",19,"e",465,232,463,2745,3155
"222","b",19,"ɝ",378,247,495,1555,1948
"223","b",19,"ɪ",300,257,506,2432,3008
"224","b",19,"i",398,247,427,2952,3556
"225","b",19,"o",397,243,584,936,2679
"226","b",19,"ʊ",270,221,531,1540,2931
"227","b",19,"ʌ",254,212,632,1352,2740
"228","b",19,"u",320,260,504,997,2826
"229","b",20,"æ",256,229,678,2524,3418
"230","b",20,"ɑ",350,263,854,1518,2988
"231","b",20,"ɔ",384,249,746,1309,2957
"232","b",20,"ɛ",212,242,699,2169,3243
"233","b",20,"e",322,250,558,2559,3311
"234","b",20,"ɝ",336,259,678,1594,2048
"235","b",20,"ɪ",187,231,489,2544,3720
"236","b",20,"i",325,260,475,2916,3399
"237","b",20,"o",370,257,588,1117,2848
"238","b",20,"ʊ",232,237,627,1703,2883
"239","b",20,"ʌ",296,255,746,1552,3044
"240","b",20,"u",243,256,504,1515,2952
"241","b",21,"æ",346,267,809,2592,3331
"242","b",21,"ɑ",292,277,1119,1588,3010
"243","b",21,"ɔ",313,268,765,1067,3266
"244","b",21,"ɛ",238,270,1057,2426,3441
"245","b",21,"e",336,271,586,2720,3446
"246","b",21,"ɝ",332,246,614,1867,2435
"247","b",21,"ɪ",205,276,559,2753,3502
"248","b",21,"i",277,293,366,3207,3722
"249","b",21,"o",314,274,557,1065,3040
"250","b",21,"ʊ",206,277,561,1627,3037
"251","b",21,"ʌ",219,282,863,1566,3134
"252","b",21,"u",251,283,557,1288,3111
"253","b",22,"æ",216,206,545,2690,2959
"254","b",22,"ɑ",238,228,1205,1605,2708
"255","b",22,"ɔ",196,203,770,1010,2411
"256","b",22,"ɛ",165,212,744,2227,2966
"257","b",22,"e",199,212,613,2593,3103
"258","b",22,"ɝ",270,248,568,1512,1783
"259","b",22,"ɪ",137,229,447,2645,3302
"260","b",22,"i",205,213,424,3199,3815
"261","b",22,"o",216,212,615,1093,2691
"262","b",22,"ʊ",169,237,493,1248,2751
"263","b",22,"ʌ",158,213,685,1485,2679
"264","b",22,"u",214,221,438,1336,3117
"265","b",23,"æ",284,223,669,2440,2915
"266","b",23,"ɑ",295,220,872,1565,2531
"267","b",23,"ɔ",340,213,839,1240,2636
"268","b",23,"ɛ",215,232,692,2354,3179
"269","b",23,"e",294,219,441,2585,3014
"270","b",23,"ɝ",277,227,488,1584,1810
"271","b",23,"ɪ",249,212,479,2492,3187
"272","b",23,"i",309,239,382,2987,3320
"273","b",23,"o",292,223,625,1100,2747
"274","b",23,"ʊ",254,238,512,1260,2826
"275","b",23,"ʌ",223,220,688,1251,2795
"276","b",23,"u",286,219,436,1170,2661
"277","b",24,"æ",451,220,643,2434,3326
"278","b",24,"ɑ",314,210,776,1490,2730
"279","b",24,"ɔ",362,220,635,1163,3053
"280","b",24,"ɛ",331,217,668,2106,3353
"281","b",24,"e",426,233,654,2549,3427
"282","b",24,"ɝ",347,224,479,1579,1963
"283","b",24,"ɪ",316,218,481,2567,3550
"284","b",24,"i",342,218,441,3079,3474
"285","b",24,"o",338,215,646,1244,3023
"286","b",24,"ʊ",303,227,546,1254,3333
"287","b",24,"ʌ",292,216,670,1538,3264
"288","b",24,"u",320,235,449,916,3002
"289","b",25,"æ",243,211,634,2410,3303
"290","b",25,"ɑ",270,223,1147,1553,2877
"291","b",25,"ɔ",250,215,792,1268,2988
"292","b",25,"ɛ",192,231,699,2194,3317
"293","b",25,"e",293,239,494,2823,3444
"294","b",25,"ɝ",251,211,615,1742,2009
"295","b",25,"ɪ",174,230,551,2362,3354
"296","b",25,"i",241,239,410,2874,3505
"297","b",25,"o",264,225,658,1272,2944
"298","b",25,"ʊ",174,211,622,1417,2993
"299","b",25,"ʌ",172,214,763,1522,2931
"300","b",25,"u",233,254,495,1283,3033
"301","b",26,"æ",284,227,676,2253,3121
"302","b",26,"ɑ",271,221,1065,1483,2723
"303","b",26,"ɔ",267,216,640,929,2654
"304","b",26,"ɛ",210,221,680,2187,3099
"305","b",26,"e",309,239,510,2438,3126
"306","b",26,"ɝ",263,220,457,1570,1926
"307","b",26,"ɪ",194,240,490,2449,3330
"308","b",26,"i",268,240,361,2938,3810
"309","b",26,"o",293,224,616,1047,2669
"310","b",26,"ʊ",213,239,492,1200,2622
"311","b",26,"ʌ",212,206,667,1400,3017
"312","b",26,"u",255,216,434,1297,2694
"313","b",27,"æ",291,212,860,2503,3002
"314","b",27,"ɑ",285,227,944,1540,2896
"315","b",27,"ɔ",305,214,941,1409,2729
"316","b",27,"ɛ",212,231,856,2304,2916
"317","b",27,"e",289,236,655,2772,3180
"318","b",27,"ɝ",390,250,614,1733,2034
"319","b",27,"ɪ",294,243,503,2433,3150
"320","b",27,"i",269,255,366,3024,3867
"321","b",27,"o",267,241,578,1122,2833
"322","b",27,"ʊ",221,233,684,1623,3019
"323","b",27,"ʌ",243,234,778,1422,3266
"324","b",27,"u",302,249,498,1509,2866
"325","g",28,"æ",295,242,741,2433,3341
"326","g",28,"ɑ",276,238,894,1420,2828
"327","g",28,"ɔ",349,240,867,1292,3296
"328","g",28,"ɛ",202,227,653,2241,3167
"329","g",28,"e",320,243,496,2670,3256
"330","g",28,"ɝ",297,228,556,1687,2002
"331","g",28,"ɪ",233,240,495,2574,3362
"332","g",28,"i",314,222,389,3068,3544
"333","g",28,"o",263,251,571,1243,2854
"334","g",28,"ʊ",224,243,499,1440,2980
"335","g",28,"ʌ",200,247,740,1502,3001
"336","g",28,"u",327,251,500,1724,2988
"337","g",29,"æ",283,196,729,2878,3792
"338","g",29,"ɑ",298,208,1312,1820,3308
"339","g",29,"ɔ",249,217,875,1501,3294
"340","g",29,"ɛ",218,188,928,2254,3612
"341","g",29,"e",286,211,648,2788,3723
"342","g",29,"ɝ",258,223,620,1750,2165
"343","g",29,"ɪ",197,258,557,2634,3691
"344","g",29,"i",248,246,498,3451,4100
"345","g",29,"o",295,230,683,1038,3200
"346","g",29,"ʊ",206,228,639,1518,3253
"347","g",29,"ʌ",215,220,882,1623,3434
"348","g",29,"u",236,188,435,1059,3389
"349","g",30,"æ",385,255,932,2523,3644
"350","g",30,"ɑ",324,246,1007,1742,2982
"351","g",30,"ɔ",430,244,885,1415,3196
"352","g",30,"ɛ",277,245,802,2427,3488
"353","g",30,"e",350,266,561,2663,3550
"354","g",30,"ɝ",359,285,564,2003,2349
"355","g",30,"ɪ",313,271,558,2427,3502
"356","g",30,"i",324,294,463,3225,3699
"357","g",30,"o",380,282,583,1352,3140
"358","g",30,"ʊ",367,271,564,1613,3065
"359","g",30,"ʌ",275,268,784,1614,3392
"360","g",30,"u",300,288,556,1736,3005
"361","g",31,"æ",456,227,682,2638,3510
"362","g",31,"ɑ",375,204,978,1817,2843
"363","g",31,"ɔ",368,210,882,1309,2834
"364","g",31,"ɛ",328,226,809,2265,3309
"365","g",31,"e",321,220,638,2553,3348
"366","g",31,"ɝ",348,223,601,1791,2612
"367","g",31,"ɪ",323,219,441,2728,3285
"368","g",31,"i",305,239,475,3320,3761
"369","g",31,"o",380,239,678,1306,3202
"370","g",31,"ʊ",375,225,504,1440,3000
"371","g",31,"ʌ",290,225,897,1494,2960
"372","g",31,"u",378,219,437,1733,3208
"373","g",32,"æ",292,222,799,2397,3125
"374","g",32,"ɑ",275,225,1026,1544,2536
"375","g",32,"ɔ",300,224,888,1266,2632
"376","g",32,"ɛ",174,222,660,2223,3354
"377","g",32,"e",261,225,542,2755,3283
"378","g",32,"ɝ",299,224,632,1689,2154
"379","g",32,"ɪ",150,236,488,2623,3549
"380","g",32,"i",230,250,478,2997,3755
"381","g",32,"o",268,226,483,903,2954
"382","g",32,"ʊ",234,254,545,1307,3032
"383","g",32,"ʌ",218,238,754,1430,3034
"384","g",32,"u",246,256,480,1011,2574
"385","g",33,"æ",341,242,722,2418,3017
"386","g",33,"ɑ",384,227,843,1803,2562
"387","g",33,"ɔ",342,233,697,1358,2263
"388","g",33,"ɛ",284,230,649,2268,2827
"389","g",33,"e",421,242,544,2444,2605
"390","g",33,"ɝ",365,237,585,1694,2278
"391","g",33,"ɪ",311,252,506,2432,3262
"392","g",33,"i",386,250,457,2776,4268
"393","g",33,"o",442,241,492,927,2671
"394","g",33,"ʊ",186,249,507,1720,2978
"395","g",33,"ʌ",286,234,620,1579,2861
"396","g",33,"u",367,255,503,821,2874
"397","g",34,"æ",384,266,695,2704,3731
"398","g",34,"ɑ",407,249,993,2000,3174
"399","g",34,"ɔ",377,270,787,1234,2924
"400","g",34,"ɛ",294,244,741,2418,3665
"401","g",34,"e",438,257,513,2881,3667
"402","g",34,"ɝ",346,260,540,1571,2167
"403","g",34,"ɪ",378,261,517,2619,3499
"404","g",34,"i",390,263,507,3319,3823
"405","g",34,"o",309,259,536,789,2863
"406","g",34,"ʊ",292,271,585,1636,2941
"407","g",34,"ʌ",303,242,695,1832,3000
"408","g",34,"u",315,271,540,1653,2799
"409","g",35,"æ",382,265,758,2373,3327
"410","g",35,"ɑ",321,245,1197,1734,3187
"411","g",35,"ɔ",425,301,932,1445,3107
"412","g",35,"ɛ",292,238,763,2393,3241
"413","g",35,"e",364,258,536,2859,3507
"414","g",35,"ɝ",413,286,573,1748,2245
"415","g",35,"ɪ",308,264,515,2828,3627
"416","g",35,"i",399,294,503,3256,4056
"417","g",35,"o",423,275,561,1151,2996
"418","g",35,"ʊ",284,294,595,1737,3235
"419","g",35,"ʌ",248,262,756,1579,3388
"420","g",35,"u",307,303,568,1508,2987
"421","g",36,"æ",311,237,946,2540,3229
"422","g",36,"ɑ",282,218,855,1845,3055
"423","g",36,"ɔ",285,226,893,1563,3131
"424","g",36,"ɛ",278,227,816,2404,3448
"425","g",36,"e",310,236,740,2651,3049
"426","g",36,"ɝ",320,212,631,1722,2140
"427","g",36,"ɪ",241,257,518,2870,3681
"428","g",36,"i",292,222,456,3389,4027
"429","g",36,"o",338,238,630,1491,3010
"430","g",36,"ʊ",268,229,667,1446,3220
"431","g",36,"ʌ",222,229,880,1680,3280
"432","g",36,"u",318,216,460,1422,3099
"433","g",37,"æ",353,230,648,2334,2834
"434","g",37,"ɑ",298,240,1047,1488,2879
"435","g",37,"ɔ",380,232,898,1359,2850
"436","g",37,"ɛ",227,226,793,2228,3560
"437","g",37,"e",315,240,494,2676,3280
"438","g",37,"ɝ",296,233,671,1556,2302
"439","g",37,"ɪ",250,226,499,2437,3758
"440","g",37,"i",282,238,465,2875,3699
"441","g",37,"o",363,232,455,923,3258
"442","g",37,"ʊ",310,219,627,1515,3034
"443","g",37,"ʌ",227,226,701,1563,3058
"444","g",37,"u",324,238,460,1291,3010
"445","g",38,"æ",322,240,730,2668,3564
"446","g",38,"ɑ",317,200,1154,1932,3044
"447","g",38,"ɔ",323,241,952,1665,3063
"448","g",38,"ɛ",250,236,762,2349,3484
"449","g",38,"e",293,262,594,2733,3413
"450","g",38,"ɝ",270,253,627,1780,2415
"451","g",38,"ɪ",240,242,533,2762,3466
"452","g",38,"i",304,212,436,3340,3862
"453","g",38,"o",237,225,637,1142,3360
"454","g",38,"ʊ",214,259,571,1819,3274
"455","g",38,"ʌ",226,248,796,1669,3254
"456","g",38,"u",273,276,540,1998,3104
"457","g",39,"æ",301,251,752,2501,3450
"458","g",39,"ɑ",334,241,931,1749,3205
"459","g",39,"ɔ",339,234,823,1356,3419
"460","g",39,"ɛ",250,263,759,2488,3502
"461","g",39,"e",345,258,550,2780,3468
"462","g",39,"ɝ",288,273,561,1692,2358
"463","g",39,"ɪ",273,257,508,2642,3494
"464","g",39,"i",396,278,464,3104,3692
"465","g",39,"o",351,251,502,960,3274
"466","g",39,"ʊ",269,279,563,1577,3159
"467","g",39,"ʌ",232,229,738,1626,3315
"468","g",39,"u",286,273,527,1407,3253
"469","g",40,"æ",306,194,717,2313,3150
"470","g",40,"ɑ",308,189,954,1472,2844
"471","g",40,"ɔ",332,214,854,1109,2960
"472","g",40,"ɛ",297,211,621,2275,3146
"473","g",40,"e",351,222,564,2455,3100
"474","g",40,"ɝ",312,215,603,1663,1983
"475","g",40,"ɪ",311,216,435,2623,3084
"476","g",40,"i",320,220,432,2688,3161
"477","g",40,"o",330,240,499,992,3121
"478","g",40,"ʊ",314,245,498,1491,2924
"479","g",40,"ʌ",259,208,633,1454,2986
"480","g",40,"u",304,239,486,968,2756
"481","g",41,"æ",354,226,888,2605,3651
"482","g",41,"ɑ",299,233,1316,1752,3113
"483","g",41,"ɔ",360,239,894,1366,3371
"484","g",41,"ɛ",266,226,880,2638,3567
"485","g",41,"e",386,237,497,2804,3315
"486","g",41,"ɝ",331,248,707,1706,2245
"487","g",41,"ɪ",337,244,497,2684,3546
"488","g",41,"i",357,251,477,3266,3889
"489","g",41,"o",382,243,577,1217,3225
"490","g",41,"ʊ",298,233,597,1599,3270
"491","g",41,"ʌ",302,247,684,1732,3241
"492","g",41,"u",368,244,496,1739,2873
"493","g",42,"æ",308,208,727,2394,3320
"494","g",42,"ɑ",304,248,911,1624,3230
"495","g",42,"ɔ",291,233,757,1242,3288
"496","g",42,"ɛ",204,249,755,2137,3384
"497","g",42,"e",280,258,575,2502,3445
"498","g",42,"ɝ",269,225,667,1688,2246
"499","g",42,"ɪ",212,243,504,2408,3422
"500","g",42,"i",266,273,466,3004,3634
"501","g",42,"o",262,267,785,1551,3138
"502","g",42,"ʊ",188,236,643,1860,3306
"503","g",42,"ʌ",215,256,782,1622,3171
"504","g",42,"u",245,236,490,2179,3131
"505","g",43,"æ",317,219,591,2632,3497
"506","g",43,"ɑ",416,214,1033,1929,3428
"507","g",43,"ɔ",441,215,1062,1475,3233
"508","g",43,"ɛ",258,205,533,2480,3378
"509","g",43,"e",325,209,570,3256,3584
"510","g",43,"ɝ",287,219,611,2033,2522
"511","g",43,"ɪ",267,212,557,2664,3468
"512","g",43,"i",343,222,436,3443,3843
"513","g",43,"o",300,221,568,1096,2991
"514","g",43,"ʊ",211,217,556,1558,3490
"515","g",43,"ʌ",226,207,744,1854,3360
"516","g",43,"u",315,214,435,1829,3316
"517","g",44,"æ",238,248,747,2703,3829
"518","g",44,"ɑ",220,235,1129,2005,2826
"519","g",44,"ɔ",218,221,1090,1465,2981
"520","g",44,"ɛ",222,229,868,2318,3567
"521","g",44,"e",223,234,618,2752,4040
"522","g",44,"ɝ",197,236,670,1899,2323
"523","g",44,"ɪ",168,236,550,2625,3774
"524","g",44,"i",193,237,479,3093,3755
"525","g",44,"o",222,234,688,1197,3184
"526","g",44,"ʊ",155,237,682,1571,3394
"527","g",44,"ʌ",184,227,885,1629,3430
"528","g",44,"u",192,243,497,1334,3067
"529","g",45,"æ",290,227,672,2484,3492
"530","g",45,"ɑ",259,234,1145,1655,3062
"531","g",45,"ɔ",274,246,998,1368,3282
"532","g",45,"ɛ",228,228,882,2524,3555
"533","g",45,"e",294,249,540,2687,3504
"534","g",45,"ɝ",286,230,627,1628,2058
"535","g",45,"ɪ",220,234,489,2730,3763
"536","g",45,"i",243,232,469,3278,4165
"537","g",45,"o",317,213,622,1223,3380
"538","g",45,"ʊ",241,239,512,1644,3483
"539","g",45,"ʌ",210,248,1045,1609,3456
"540","g",45,"u",248,248,498,1740,3291
"541","g",46,"æ",250,227,555,2569,3424
"542","g",46,"ɑ",186,215,1021,1720,3186
"543","g",46,"ɔ",259,218,1001,1488,3149
"544","g",46,"ɛ",227,230,733,2421,3250
"545","g",46,"e",259,235,558,2533,3224
"546","g",46,"ɝ",262,225,620,1689,2361
"547","g",46,"ɪ",170,226,444,2846,3518
"548","g",46,"i",258,238,472,3120,3574
"549","g",46,"o",246,222,643,1262,3194
"550","g",46,"ʊ",179,243,575,1580,3509
"551","g",46,"ʌ",177,229,646,1578,3366
"552","g",46,"u",227,225,446,1533,3269
"553","m",47,"æ",323,174,663,2012,2659
"554","m",47,"ɑ",316,159,813,1283,2687
"555","m",47,"ɔ",330,177,699,996,2548
"556","m",47,"ɛ",266,171,609,1980,2678
"557","m",47,"e",319,166,494,2113,2700
"558","m",47,"ɝ",324,175,506,1418,1849
"559","m",47,"ɪ",268,179,370,2161,2757
"560","m",47,"i",339,172,328,2418,2939
"561","m",47,"o",369,169,509,989,2561
"562","m",47,"ʊ",255,169,450,995,2519
"563","m",47,"ʌ",292,171,670,1178,2566
"564","m",47,"u",281,184,374,931,2433
"565","m",48,"æ",250,102,628,1871,2477
"566","m",48,"ɑ",249,101,749,1060,2842
"567","m",48,"ɔ",289,106,644,856,2627
"568","m",48,"ɛ",167,103,517,1917,2438
"569","m",48,"e",261,105,438,2196,2480
"570","m",48,"ɝ",296,111,457,1406,1685
"571","m",48,"ɪ",183,111,384,2039,2523
"572","m",48,"i",236,108,305,2320,3072
"573","m",48,"o",261,105,519,891,2532
"574","m",48,"ʊ",174,112,424,992,2249
"575","m",48,"ʌ",173,105,642,998,2682
"576","m",48,"u",257,114,319,938,2091
"577","m",49,"æ",344,99,605,1812,2570
"578","m",49,"ɑ",373,97,755,1133,2695
"579","m",49,"ɔ",355,93,647,926,2785
"580","m",49,"ɛ",284,95,559,1695,2413
"581","m",49,"e",353,91,438,2026,2476
"582","m",49,"ɝ",368,94,479,1252,1621
"583","m",49,"ɪ",262,101,411,1932,2569
"584","m",49,"i",315,96,331,2311,2865
"585","m",49,"o",417,96,496,863,2548
